locationEstudiante,locationSede,codigo_dane,tratamiento,par_id,pionero,edad,sexo,zona,ruralidad,pdet,zona_ptafi,tei_nivel_pre,tei_slope_pre,matricula_pre,num_jornadas,pct_jornada_completa,composicion_grados,CSL_total_correctas,CSL_pct_correctas,DPSS_total_correctas,DPSS_pct_correctas,LP_total_correctas,LP_pct_correctas,CL_total_correctas,CL_pct_correctas,miss_num_total_correctas,miss_num_pct_correctas,comp_mat_op_total_correctas,comp_mat_op_pct_correctas,sums_total_correctas,sums_pct_correctas,substract_total_correctas,substract_pct_correctas,mult_div_total_correctas,mult_div_pct_correctas,res_problems_total_correctas,res_problems_pct_correctas
73280269,344430001176,344430001176,0,3.0,0.0,13,1,URBANO,0.0,0.0,A,99.56896551724138,,301.0,1.0,0.0,4.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
75037088,125754002066,125754002066,1,11.0,1.0,11,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,9,15.0,8,16,6,3.64,2,33.33,5,50,1,10,4,16,2,7.41,3,30,1,16.67
75231021,119548000251,119548000251,0,2.0,0.0,13,2,URBANO,0.0,0.0,D,90.9504481706702,0.9777490020274087,1230.0,2.0,0.0,4.0,6,10.0,0,0,0,0.0,0,0.0,3,30,0,0,1,4,0,0.0,0,0,0,0.0
75265840,125754002066,125754002066,1,11.0,1.0,10,1,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,9,15.0,11,22,20,12.12,0,0.0,4,40,2,20,7,28,2,7.41,2,20,1,16.67
75355511,168001000525,168001000525,1,6.0,0.0,11,1,URBANO,0.0,0.0,C,97.40737135118357,0.16585238172081063,4193.0,3.0,25.948008585738137,4.0,3,5.0,1,2,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
75367750,119548000251,119548000251,0,2.0,0.0,11,2,URBANO,0.0,0.0,D,90.9504481706702,0.9777490020274087,1230.0,2.0,0.0,4.0,6,10.0,35,70,106,64.24,4,66.67,9,90,6,60,14,56,16,59.26,3,30,3,50.0
75555261,125754002066,125754002066,1,11.0,1.0,10,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,16,26.67,45,90,102,61.82,5,83.33,8,80,1,10,22,88,13,48.15,3,30,2,33.33
76179131,166001002215,166001002215,1,,,12,1,,,,,,,,,,,7,11.67,14,28,10,6.06,3,50.0,9,90,4,40,25,100,18,66.67,6,60,3,50.0
76253407,125754002066,125754002066,1,11.0,1.0,11,1,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,19,31.67,19,38,61,36.97,3,50.0,8,80,10,100,24,96,17,62.96,8,80,5,83.33
76263803,125754002066,125754002066,1,11.0,1.0,11,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,4,6.67,12,24,53,32.12,2,33.33,6,60,5,50,21,84,13,48.15,6,60,3,50.0
